method,x,xq,approx,reference,signed_error,abs_error,rel_error,terms,muls,divs,shifts,adds,saturations,max_abs_intermediate_q,max_abs_intermediate_real,reduction_steps
direct_t12_trunc,-10,-167772160,19.4193361402,-0.99995460007,20.4192907402,20.4192907402,20.4202178167,12,11,11,0,11,8,8388608000,500,0
direct_t12_rne,-10,-167772160,19.4193361998,-0.99995460007,20.4192907998,20.4192907998,20.4202178763,12,11,11,0,11,9,8388608000,500,0
direct_t16_rne,-10,-167772160,15.95613271,-0.99995460007,16.9560873101,16.9560873101,16.9568571502,16,15,15,0,15,9,8388608000,500,0
direct_t20_rne,-10,-167772160,15.1848213673,-0.99995460007,16.1847759673,16.1847759673,16.1855107884,20,19,19,0,19,9,8388608000,500,0
adaptive_rne,-10,-167772160,15.1225949526,-0.99995460007,16.1225495527,16.1225495527,16.1232815485,35,34,34,0,34,9,8388608000,500,0
divfirst_t12_rne,-10,-167772160,20.6060603857,-0.99995460007,21.6060149858,21.6060149858,21.6069959419,12,11,11,0,11,8,5368709120,320,0
rr_ln2_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,8,7,1,8,0,16776454,0.999954581261,1
rr_ln2_adaptive,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,7,6,1,8,0,16776454,0.999954581261,1
halving_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,12,7,10,11,0,83886080,5,5
halving_adaptive,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,11,6,10,11,0,83886080,5,5
fine_ln2_2_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,4,5,4,1,5,0,24958876,1.48766493797,1
fine_ln2_4_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,4,5,4,1,5,0,24958876,1.48766493797,1
fine_ln2_8_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,4,5,4,1,5,0,24958875,1.48766487837,1
fine_ln2_16_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,3,4,3,1,4,0,24958704,1.48765468597,1
fine_ln2_32_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,3,4,3,1,4,0,24959048,1.48767518997,1
fine_ln2_64_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,2,3,2,1,3,0,24958361,1.48763424158,1
direct_t12_trunc,-9.99,-167604388,19.3216382861,-0.999954143793,20.3215924299,20.3215924299,20.3225243438,12,11,11,0,11,8,8363467348,498.501500368,0
direct_t12_rne,-9.99,-167604388,19.3216384053,-0.999954143793,20.3215925491,20.3215925491,20.322524463,12,11,11,0,11,8,8363467359,498.501501024,0
direct_t16_rne,-9.99,-167604388,15.8639478683,-0.999954143793,16.8639020121,16.8639020121,16.8646753622,16,15,15,0,15,8,8363467359,498.501501024,0
direct_t20_rne,-9.99,-167604388,15.0974888206,-0.999954143793,16.0974429643,16.0974429643,16.0981811659,20,19,19,0,19,8,8363467359,498.501501024,0
adaptive_rne,-9.99,-167604388,15.035923779,-0.999954143793,16.0358779228,16.0358779228,16.0366133011,35,34,34,0,34,8,8363467359,498.501501024,0
divfirst_t12_rne,-9.99,-167604388,20.3301032782,-0.999954143793,21.330057422,21.330057422,21.3310355823,12,11,11,0,11,7,5363340416,319.680000305,0
rr_ln2_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,7,8,7,1,8,0,16776447,0.999954164028,1
rr_ln2_adaptive,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,7,7,6,1,8,0,16776447,0.999954164028,1
halving_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,7,12,7,10,11,0,83802194,4.99500000477,5
halving_adaptive,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,7,11,6,10,11,0,83802194,4.99500000477,5
fine_ln2_2_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,4,5,4,1,5,0,25209717,1.50261622667,1
fine_ln2_4_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,4,5,4,1,5,0,25209717,1.50261622667,1
fine_ln2_8_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,3,4,3,1,4,0,25209717,1.50261622667,1
fine_ln2_16_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,3,4,3,1,4,0,25209542,1.50260579586,1
fine_ln2_32_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,2,3,2,1,3,0,25209890,1.50262653828,1
fine_ln2_64_t12,-9.99,-167604388,-0.999954164028,-0.999954143793,-2.02348099387e-08,2.02348099387e-08,2.02357378729e-08,2,3,2,1,3,0,25209198,1.50258529186,1
direct_t12_trunc,-9.98,-167436616,19.2240599394,-0.999953682931,20.2240136223,20.2240136223,20.2249503827,12,11,11,0,11,8,8338376991,497.005998552,0
direct_t12_rne,-9.98,-167436616,19.2240600586,-0.999953682931,20.2240137415,20.2240137415,20.224950502,12,11,11,0,11,8,8338377002,497.005999207,0
direct_t16_rne,-9.98,-167436616,15.7718970776,-0.999953682931,16.7718507605,16.7718507605,16.7726276194,16,15,15,0,15,8,8338377002,497.005999207,0
direct_t20_rne,-9.98,-167436616,15.0102659464,-0.999953682931,16.0102196293,16.0102196293,16.0109612101,20,19,19,0,19,8,8338377002,497.005999207,0
adaptive_rne,-9.98,-167436616,14.9493560791,-0.999953682931,15.949309762,15.949309762,15.9500485215,35,34,34,0,34,8,8338377002,497.005999207,0
divfirst_t12_rne,-9.98,-167436616,20.0545948744,-0.999953682931,21.0545485573,21.0545485573,21.0555237875,12,11,11,0,11,7,5357971712,319.36000061,0
rr_ln2_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,6,7,6,1,7,0,16776439,0.999953687191,1
rr_ln2_adaptive,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,6,7,6,1,7,0,16776439,0.999953687191,1
halving_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,7,12,7,10,11,0,83718308,4.99000000954,5
halving_adaptive,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,7,11,6,10,11,0,83718308,4.99000000954,5
fine_ln2_2_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,4,5,4,1,5,0,25463079,1.51771777868,1
fine_ln2_4_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,4,5,4,1,5,0,25463079,1.51771777868,1
fine_ln2_8_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,3,4,3,1,4,0,25463079,1.51771777868,1
fine_ln2_16_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,3,4,3,1,4,0,25462905,1.51770740747,1
fine_ln2_32_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,3,4,3,1,4,0,25463255,1.5177282691,1
fine_ln2_64_t12,-9.98,-167436616,-0.999953687191,-0.999953682931,-4.26019031163e-09,4.26019031163e-09,4.2603876403e-09,2,3,2,1,3,0,25462555,1.51768654585,1
direct_t12_trunc,-9.97,-167268844,19.1266009212,-0.999953217437,20.1265541386,20.1265541386,20.1274957544,12,11,11,0,11,8,8313336858,495.513490319,0
direct_t12_rne,-9.97,-167268844,19.1266010404,-0.999953217437,20.1265542578,20.1265542578,20.1274958737,12,11,11,0,11,8,8313336868,495.513490915,0
direct_t16_rne,-9.97,-167268844,15.6799800992,-0.999953217437,16.6799333166,16.6799333166,16.6807136832,16,15,15,0,15,8,8313336868,495.513490915,0
direct_t20_rne,-9.97,-167268844,14.9231525064,-0.999953217437,15.9231057238,15.9231057238,15.9238506823,20,19,19,0,19,8,8313336868,495.513490915,0
adaptive_rne,-9.97,-167268844,14.8628914356,-0.999953217437,15.8628446531,15.8628446531,15.8635867923,35,34,34,0,34,8,8313336868,495.513490915,0
divfirst_t12_rne,-9.97,-167268844,19.7795342207,-0.999953217437,20.7794874381,20.7794874381,20.7804596013,12,11,11,0,11,7,5352603008,319.040000916,0
rr_ln2_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,6,7,6,1,7,0,16776431,0.999953210354,1
rr_ln2_adaptive,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,6,7,6,1,7,0,16776431,0.999953210354,1
halving_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,7,12,7,10,11,0,83634422,4.98500001431,5
halving_adaptive,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,7,11,6,10,11,0,83634422,4.98500001431,5
fine_ln2_2_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,4,5,4,1,5,0,25718986,1.53297102451,1
fine_ln2_4_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,4,5,4,1,5,0,25718986,1.53297102451,1
fine_ln2_8_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,3,4,3,1,4,0,25718986,1.53297102451,1
fine_ln2_16_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,3,4,3,1,4,0,25718810,1.5329605341,1
fine_ln2_32_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,3,4,3,1,4,0,25719161,1.53298145533,1
fine_ln2_64_t12,-9.97,-167268844,-0.999953210354,-0.999953217437,7.08268377281e-09,7.08268377281e-09,7.08301513441e-09,2,3,2,1,3,0,25718458,1.53293955326,1
direct_t12_trunc,-9.96,-167101071,19.029260695,-0.999952747264,20.0292134422,20.0292134422,20.0301599221,12,11,11,0,11,8,8288346758,494.023964286,0
direct_t12_rne,-9.96,-167101071,19.0292608738,-0.999952747264,20.0292136211,20.0292136211,20.0301601009,12,11,11,0,11,8,8288346769,494.023964942,0
direct_t16_rne,-9.96,-167101071,15.5881962776,-0.999952747264,16.5881490249,16.5881490249,16.5889328973,16,15,15,0,15,8,8288346769,494.023964942,0
direct_t20_rne,-9.96,-167101071,14.836147964,-0.999952747264,15.8361007113,15.8361007113,15.8368490457,20,19,19,0,19,8,8288346769,494.023964942,0
adaptive_rne,-9.96,-167101071,14.7765294313,-0.999952747264,15.7764821786,15.7764821786,15.7772276958,35,34,34,0,34,8,8288346769,494.023964942,0
divfirst_t12_rne,-9.96,-167101071,19.5049197078,-0.999952747264,20.504872455,20.504872455,20.5058414122,12,11,11,0,11,7,5347234272,318.719999313,0
rr_ln2_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,6,7,6,1,7,0,16776423,0.999952733517,1
rr_ln2_adaptive,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,6,7,6,1,7,0,16776423,0.999952733517,1
halving_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,7,12,7,10,11,0,83550536,4.98000001907,5
halving_adaptive,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,7,11,6,10,11,0,83550536,4.98000001907,5
fine_ln2_2_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,5,6,5,1,6,0,25977468,1.5483777523,1
fine_ln2_4_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,5,6,5,1,6,0,25977469,1.54837781191,1
fine_ln2_8_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,2,3,2,1,3,0,25977468,1.5483777523,1
fine_ln2_16_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,2,3,2,1,3,0,25977289,1.54836708307,1
fine_ln2_32_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,2,3,2,1,3,0,25977645,1.54838830233,1
fine_ln2_64_t12,-9.96,-167101071,-0.999952733517,-0.999952747264,1.37472625505e-08,1.37472625505e-08,1.3747912177e-08,2,3,2,1,3,0,25976933,1.54834586382,1
direct_t12_trunc,-9.95,-166933299,18.9320405126,-0.999952272366,19.9319927849,19.9319927849,19.9329441372,12,11,11,0,11,8,8263406942,492.537435412,0
direct_t12_rne,-9.95,-166933299,18.9320406318,-0.999952272366,19.9319929041,19.9319929041,19.9329442564,12,11,11,0,11,8,8263406952,492.537436008,0
direct_t16_rne,-9.95,-166933299,15.4965466261,-0.999952272366,16.4964988985,16.4964988985,16.4972862749,16,15,15,0,15,8,8263406952,492.537436008,0
direct_t20_rne,-9.95,-166933299,14.7492534518,-0.999952272366,15.7492057242,15.7492057242,15.7499574324,20,19,19,0,19,8,8263406952,492.537436008,0
adaptive_rne,-9.95,-166933299,14.6902711391,-0.999952272366,15.6902234115,15.6902234115,15.6909723045,35,34,34,0,34,8,8263406952,492.537436008,0
divfirst_t12_rne,-9.95,-166933299,19.2307527065,-0.999952272366,20.2307049789,20.2307049789,20.2316705887,12,11,11,0,11,7,5341865568,318.399999619,0
rr_ln2_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,6,7,6,1,7,0,16776415,0.99995225668,1
rr_ln2_adaptive,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,6,7,6,1,7,0,16776415,0.99995225668,1
halving_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,7,12,7,10,11,0,83466650,4.97500002384,5
halving_adaptive,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,7,11,6,10,11,0,83466650,4.97500002384,5
fine_ln2_2_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,5,6,5,1,6,0,26238546,1.56393921375,1
fine_ln2_4_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,4,5,4,1,5,0,26238548,1.56393933296,1
fine_ln2_8_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,3,4,3,1,4,0,26238546,1.56393921375,1
fine_ln2_16_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,3,4,3,1,4,0,26238367,1.56392854452,1
fine_ln2_32_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,3,4,3,1,4,0,26238726,1.56394994259,1
fine_ln2_64_t12,-9.95,-166933299,-0.99995225668,-0.999952272366,1.56865282985e-08,1.56865282985e-08,1.56872770151e-08,2,3,2,1,3,0,26238007,1.56390708685,1
direct_t12_trunc,-9.94,-166765527,18.8349396586,-0.999951792695,19.8348914513,19.8348914513,19.8358476841,12,11,11,0,11,8,8238517197,491.053891003,0
direct_t12_rne,-9.94,-166765527,18.8349398375,-0.999951792695,19.8348916302,19.8348916302,19.8358478629,12,11,11,0,11,8,8238517208,491.053891659,0
direct_t16_rne,-9.94,-166765527,15.4050304294,-0.999951792695,16.4049822221,16.4049822221,16.4057731002,16,15,15,0,15,8,8238517208,491.053891659,0
direct_t20_rne,-9.94,-166765527,14.662468195,-0.999951792695,15.6624199877,15.6624199877,15.6631750671,20,19,19,0,19,8,8238517208,491.053891659,0
adaptive_rne,-9.94,-166765527,14.6041161418,-0.999951792695,15.6040679345,15.6040679345,15.6048202008,35,34,34,0,34,8,8238517208,491.053891659,0
divfirst_t12_rne,-9.94,-166765527,18.9570327997,-0.999951792695,19.9569845924,19.9569845924,19.9579467112,12,11,11,0,11,7,5336496864,318.079999924,0
rr_ln2_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,6,7,6,1,7,0,16776407,0.999951779842,1
rr_ln2_adaptive,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,6,7,6,1,7,0,16776407,0.999951779842,1
halving_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,7,12,7,10,11,0,83382764,4.97000002861,5
halving_adaptive,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,7,11,6,10,11,0,83382764,4.97000002861,5
fine_ln2_2_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,5,6,5,1,6,0,26502246,1.57965695858,1
fine_ln2_4_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,4,5,4,1,5,0,26502248,1.57965707779,1
fine_ln2_8_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,3,4,3,1,4,0,26502247,1.57965701818,1
fine_ln2_16_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,3,4,3,1,4,0,26502066,1.57964622974,1
fine_ln2_32_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,2,3,2,1,3,0,26502428,1.57966780663,1
fine_ln2_64_t12,-9.94,-166765527,-0.999951779842,-0.999951792695,1.28529908938e-08,1.28529908938e-08,1.28536105317e-08,2,3,2,1,3,0,26501703,1.57962459326,1
direct_t12_trunc,-9.93,-166597755,18.737958312,-0.999951308204,19.7379096202,19.7379096202,19.7388707413,12,11,11,0,11,8,8213677496,489.573329449,0
direct_t12_rne,-9.93,-166597755,18.7379583716,-0.999951308204,19.7379096798,19.7379096798,19.7388708009,12,11,11,0,11,8,8213677496,489.573329449,0
direct_t16_rne,-9.93,-166597755,15.3136475682,-0.999951308204,16.3135988764,16.3135988764,16.3143932535,16,15,15,0,15,8,8213677496,489.573329449,0
direct_t20_rne,-9.93,-166597755,14.5757923722,-0.999951308204,15.5757436804,15.5757436804,15.5765021283,20,19,19,0,19,8,8213677496,489.573329449,0
adaptive_rne,-9.93,-166597755,14.5180642605,-0.999951308204,15.5180155687,15.5180155687,15.5187712055,35,34,34,0,34,8,8213677496,489.573329449,0
divfirst_t12_rne,-9.93,-166597755,18.6837577224,-0.999951308204,19.6837090306,19.6837090306,19.6846675124,12,11,11,0,11,7,5331128160,317.760000229,0
rr_ln2_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,6,7,6,1,7,0,16776399,0.999951303005,1
rr_ln2_adaptive,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,6,7,6,1,7,0,16776399,0.999951303005,1
halving_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,7,12,7,10,11,0,83298878,4.96500003338,5
halving_adaptive,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,7,11,6,10,11,0,83298878,4.96500003338,5
fine_ln2_2_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,5,6,5,1,6,0,26768599,1.59553283453,1
fine_ln2_4_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,4,5,4,1,5,0,26768599,1.59553283453,1
fine_ln2_8_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,4,5,4,1,5,0,26768599,1.59553283453,1
fine_ln2_16_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,3,4,3,1,4,0,26768417,1.59552198648,1
fine_ln2_32_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,3,4,3,1,4,0,26768783,1.59554380178,1
fine_ln2_64_t12,-9.93,-166597755,-0.999951303005,-0.999951308204,5.19868281756e-09,5.19868281756e-09,5.19893596309e-09,2,3,2,1,3,0,26768051,1.59550017118,1
direct_t12_trunc,-9.92,-166429983,18.6410962939,-0.999950818843,19.6410471128,19.6410471128,19.6420131297,12,11,11,0,11,8,8188887766,488.095746398,0
direct_t12_rne,-9.92,-166429983,18.6410963535,-0.999950818843,19.6410471724,19.6410471724,19.6420131893,12,11,11,0,11,8,8188887766,488.095746398,0
direct_t16_rne,-9.92,-166429983,15.2223978639,-0.999950818843,16.2223486827,16.2223486827,16.2231465558,16,15,15,0,15,8,8188887766,488.095746398,0
direct_t20_rne,-9.92,-166429983,14.4892256856,-0.999950818843,15.4891765044,15.4891765044,15.4899383175,20,19,19,0,19,8,8188887766,488.095746398,0
adaptive_rne,-9.92,-166429983,14.432115674,-0.999950818843,15.4320664929,15.4320664929,15.4328254971,35,34,34,0,34,8,8188887766,488.095746398,0
divfirst_t12_rne,-9.92,-166429983,18.4109279513,-0.999950818843,19.4108787702,19.4108787702,19.4118334666,12,11,11,0,11,7,5325759456,317.440000534,0
rr_ln2_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,6,7,6,1,7,0,16776391,0.999950826168,1
rr_ln2_adaptive,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,6,7,6,1,7,0,16776391,0.999950826168,1
halving_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,7,12,7,10,11,0,83214992,4.96000003815,5
halving_adaptive,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,7,11,6,10,11,0,83214992,4.96000003815,5
fine_ln2_2_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,5,6,5,1,6,0,27037627,1.6115681529,1
fine_ln2_4_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,4,5,4,1,5,0,27037627,1.6115681529,1
fine_ln2_8_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,4,5,4,1,5,0,27037627,1.6115681529,1
fine_ln2_16_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,2,3,2,1,3,0,27037443,1.61155718565,1
fine_ln2_32_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,2,3,2,1,3,0,27037812,1.61157917976,1
fine_ln2_64_t12,-9.92,-166429983,-0.999950826168,-0.999950818843,-7.32484539689e-09,7.32484539689e-09,7.32520565898e-09,2,3,2,1,3,0,27037074,1.61153519154,1
direct_t12_trunc,-9.91,-166262211,18.5443536043,-0.999950324564,19.5443039289,19.5443039289,19.5452748489,12,11,11,0,11,8,8164147958,486.62113893,0
direct_t12_rne,-9.91,-166262211,18.5443537235,-0.999950324564,19.5443040481,19.5443040481,19.5452749681,12,11,11,0,11,8,8164147968,486.621139526,0
direct_t16_rne,-9.91,-166262211,15.1312812567,-0.999950324564,16.1312315812,16.1312315812,16.132032947,16,15,15,0,15,8,8164147968,486.621139526,0
direct_t20_rne,-9.91,-166262211,14.4027683139,-0.999950324564,15.4027186384,15.4027186384,15.4034838132,20,19,19,0,19,8,8164147968,486.621139526,0
adaptive_rne,-9.91,-166262211,14.3462703824,-0.999950324564,15.346220707,15.346220707,15.346983075,35,34,34,0,34,8,8164147968,486.621139526,0
divfirst_t12_rne,-9.91,-166262211,18.1385425329,-0.999950324564,19.1384928575,19.1384928575,19.1394436177,12,11,11,0,11,7,5320390752,317.120000839,0
rr_ln2_t12,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,6,7,6,1,7,0,16776383,0.999950349331,1
rr_ln2_adaptive,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,6,7,6,1,7,0,16776383,0.999950349331,1
halving_t12,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,7,12,7,10,11,0,83131106,4.95500004292,5
halving_adaptive,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,7,11,6,10,11,0,83131106,4.95500004292,5
fine_ln2_2_t12,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,5,6,5,1,6,0,27309361,1.62776476145,1
fine_ln2_4_t12,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,4,5,4,1,5,0,27309361,1.62776476145,1
fine_ln2_8_t12,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,4,5,4,1,5,0,27309361,1.62776476145,1
fine_ln2_16_t12,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,3,4,3,1,4,0,27309173,1.62775355577,1
fine_ln2_32_t12,-9.91,-166262211,-0.999950349331,-0.999950324564,-2.47665302711e-08,2.47665302711e-08,2.47677606204e-08,3,4,3,1,4,0,27309545,1.6277757287,1
