N,method,max_abs_error,mean_abs_error,rmse,mean_terms,saturation_point_rate,kernel_ns_per_call,e2e_ns_per_call
1,rr_ln2_t12,7.36527735512e-06,1.504977563194544e-07,4.85775424732951e-07,5.389007851534618,0.0,18.048754882666667,27.447672526
2,fine_ln2_2_t12,4.26605265602e-06,1.3547293383147351e-07,4.1800689602984e-07,4.4147037830121345,0.0,16.05786458333333,23.269031575666663
4,fine_ln2_4_t12,4.11784573373e-06,1.4297742991539644e-07,4.428568213747329e-07,3.6837972876516774,0.0,13.006157226666668,20.829298502666667
8,fine_ln2_8_t12,4.11784573373e-06,1.3349732514451127e-07,4.285547993437535e-07,3.2419700214132763,0.0,11.939391276,18.875566406
16,fine_ln2_16_t12,0.00015098369046,8.20862327025163e-06,2.5264259713719457e-05,2.7351891506067094,0.0,10.364368489666667,17.758513997333335
32,fine_ln2_32_t12,0.000152367738963,8.17772477569288e-06,2.5189335904967614e-05,2.473233404710921,0.0,11.149482422,17.339856770666668
64,fine_ln2_64_t12,0.000452261777639,2.4607624360652287e-05,7.581092987413832e-05,1.9650249821556032,0.0,9.915724284,15.562122395666668
