N,method,max_abs_error,mean_abs_error,rmse,mean_terms,saturation_point_rate,kernel_ns_per_call,e2e_ns_per_call
1,rr_ln2_t12,8.95929262867e-06,1.556944243269413e-07,5.042379746019824e-07,5.389257910149275,0.0,17.31465232057143,26.03052597185714
2,fine_ln2_2_t12,7.28779619408e-06,1.3486052966513534e-07,4.1896471351147644e-07,4.4131847725162485,0.0,14.629347679571428,22.522910877142856
4,fine_ln2_4_t12,4.5403930784e-06,1.3937136587993235e-07,4.252792954071537e-07,3.683165488179416,0.0,13.067290201857144,19.875594935714286
8,fine_ln2_8_t12,4.47574713291e-06,1.275924520464367e-07,3.8841177296070825e-07,3.2398400114277552,0.0,11.423083240428571,18.611653762142858
16,fine_ln2_16_t12,0.000152516364402,8.175900202907506e-06,2.515104384629743e-05,2.732161988429398,0.0,10.553328892285714,17.974034714571427
32,fine_ln2_32_t12,0.00015278702493,8.14061032933585e-06,2.508101355514638e-05,2.4646096707378042,0.0,9.742217494428571,16.201130347714287
64,fine_ln2_64_t12,0.000452261777639,2.4474234716140644e-05,7.537378724848573e-05,1.9681451324905364,0.0,9.350606654571427,15.009282528714285
