method,scope,event,value,stddev_percent,source
fine_ln2_4_t12,kernel,cycles,356209738.0,0.3,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,instructions,1318315717.0,0.0,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,branches,269181959.0,0.0,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,branch-misses,723845.0,2.37,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,cache-references,243013.0,1.75,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,cache-misses,39569.0,1.66,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_64_t12,kernel,cycles,261255267.0,0.22,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,instructions,1033681289.0,0.0,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,branches,206114879.0,0.0,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,branch-misses,885183.0,0.08,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,cache-references,252508.0,1.71,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,cache-misses,63943.0,4.49,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_8_t12,kernel,cycles,312699791.0,0.04,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,instructions,1230025344.0,0.0,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,branches,246612945.0,0.0,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,branch-misses,557899.0,0.16,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,cache-references,224958.0,0.89,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,cache-misses,38455.0,3.02,results/perf/kernel_fine_ln2_8_t12.csv
halving_adaptive,kernel,cycles,768926790.0,0.04,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,instructions,2035296654.0,0.0,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,branches,400824781.0,0.0,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,branch-misses,160510.0,0.15,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,cache-references,381492.0,1.07,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,cache-misses,46257.0,3.54,results/perf/kernel_halving_adaptive.csv
halving_t12,kernel,cycles,791340431.0,0.09,results/perf/kernel_halving_t12.csv
halving_t12,kernel,instructions,1984567223.0,0.0,results/perf/kernel_halving_t12.csv
halving_t12,kernel,branches,387569294.0,0.0,results/perf/kernel_halving_t12.csv
halving_t12,kernel,branch-misses,139952.0,1.05,results/perf/kernel_halving_t12.csv
halving_t12,kernel,cache-references,395654.0,1.19,results/perf/kernel_halving_t12.csv
halving_t12,kernel,cache-misses,48981.0,2.88,results/perf/kernel_halving_t12.csv
libm,kernel,cycles,224627077.0,0.44,results/perf/kernel_libm.csv
libm,kernel,instructions,555904389.0,0.01,results/perf/kernel_libm.csv
libm,kernel,branches,86388977.0,0.01,results/perf/kernel_libm.csv
libm,kernel,branch-misses,55050.0,2.08,results/perf/kernel_libm.csv
libm,kernel,cache-references,198098.0,3.39,results/perf/kernel_libm.csv
libm,kernel,cache-misses,41632.0,5.32,results/perf/kernel_libm.csv
rr_ln2_adaptive,kernel,cycles,454383176.0,0.07,results/perf/kernel_rr_ln2_adaptive.csv
