x,libm_expm1f,q24_8,q8_24,q24_minus_libm,q8_minus_libm,q24_abs_err,q8_abs_err,q24_rel_err,q8_rel_err,q24_minus_q8
8.9999998454e-04,9.0040510986e-04,0.0000000000e+00,9.0032815933e-04,-9.0040510986e-04,-7.6950527728e-08,9.0040510986e-04,7.6950527728e-08,1.0000000000e+00,8.5462117568e-05,-9.0032815933e-04
1.0000000475e-03,1.0005001677e-03,0.0000000000e+00,1.0004639626e-03,-1.0005001677e-03,-3.6205165088e-08,1.0005001677e-03,3.6205165088e-08,1.0000000000e+00,3.6187066144e-05,-1.0004639626e-03
1.0999999940e-03,1.1006052373e-03,0.0000000000e+00,1.1005997658e-03,-1.1006052373e-03,-5.4715201259e-09,1.1006052373e-03,5.4715201259e-09,1.0000000000e+00,4.9713739827e-06,-1.1005997658e-03
1.2000000570e-03,1.2007203186e-03,0.0000000000e+00,1.2007355690e-03,-1.2007203186e-03,1.5250407159e-08,1.2007203186e-03,1.5250407159e-08,1.0000000000e+00,1.2701048945e-05,-1.2007355690e-03
1.3000000035e-03,1.3008454116e-03,0.0000000000e+00,1.3008117676e-03,-1.3008454116e-03,-3.3644028008e-08,1.3008454116e-03,3.3644028008e-08,1.0000000000e+00,2.5863202609e-05,-1.3008117676e-03
1.3999999501e-03,1.4009803999e-03,0.0000000000e+00,1.4009475708e-03,-1.4009803999e-03,-3.2829120755e-08,1.4009803999e-03,3.2829120755e-08,1.0000000000e+00,2.3432961825e-05,-1.4009475708e-03
1.5000000130e-03,1.5011256328e-03,0.0000000000e+00,1.5010833740e-03,-1.5011256328e-03,-4.2258761823e-08,1.5011256328e-03,4.2258761823e-08,1.0000000000e+00,2.8151382139e-05,-1.5010833740e-03
1.5999999596e-03,1.6012806445e-03,0.0000000000e+00,1.6012787819e-03,-1.6012806445e-03,-1.8626451492e-09,1.6012806445e-03,1.8626451492e-09,1.0000000000e+00,1.1632221231e-06,-1.6012787819e-03
1.7000000225e-03,1.7014457844e-03,0.0000000000e+00,1.7014145851e-03,-1.7014457844e-03,-3.1199306250e-08,1.7014457844e-03,3.1199306250e-08,1.0000000000e+00,1.8336937501e-05,-1.7014145851e-03
1.7999999691e-03,1.8016209360e-03,0.0000000000e+00,1.8016099930e-03,-1.8016209360e-03,-1.0943040252e-08,1.8016209360e-03,1.0943040252e-08,1.0000000000e+00,6.0739971559e-06,-1.8016099930e-03
1.9000000320e-03,1.9018062158e-03,0.0000000000e+00,1.9018054008e-03,-1.9018062158e-03,-8.1490725279e-10,1.9018062158e-03,8.1490725279e-10,1.0000000000e+00,4.2849120518e-07,-1.9018054008e-03
2.0000000950e-03,2.0020015072e-03,3.9062500000e-03,2.0019412041e-03,1.9042484928e-03,-6.0303136706e-08,1.9042484928e-03,6.0303136706e-08,9.5117235184e-01,3.0121424061e-05,1.9043087959e-03
2.0999999251e-03,2.1022064611e-03,3.9062500000e-03,2.1021366119e-03,1.8040435389e-03,-6.9849193096e-08,1.8040435389e-03,6.9849193096e-08,8.5816669464e-01,3.3226609958e-05,1.8041133881e-03
2.1999999881e-03,2.2024216596e-03,3.9062500000e-03,2.2023916245e-03,1.7038283404e-03,-3.0035153031e-08,1.7038283404e-03,3.0035153031e-08,7.7361583710e-01,1.3637330994e-05,1.7038583755e-03
2.3000000510e-03,2.3026471026e-03,3.9062500000e-03,2.3026466370e-03,1.6036028974e-03,-4.6566128731e-10,1.6036028974e-03,4.6566128731e-10,6.9641715288e-01,2.0222867647e-07,1.6036033630e-03
2.4000001140e-03,2.4028823245e-03,3.9062500000e-03,2.4028420448e-03,1.5033676755e-03,-4.0279701352e-08,1.5033676755e-03,4.0279701352e-08,6.2565183640e-01,1.6763076928e-05,1.5034079552e-03
2.4999999441e-03,2.5031275582e-03,3.9062500000e-03,2.5030970573e-03,1.4031224418e-03,-3.0500814319e-08,1.4031224418e-03,3.0500814319e-08,5.6054770947e-01,1.2185081687e-05,1.4031529427e-03
2.6000000071e-03,2.6033830363e-03,3.9062500000e-03,2.6033520699e-03,1.3028669637e-03,-3.0966475606e-08,1.3028669637e-03,3.0966475606e-08,5.0045150518e-01,1.1894705494e-05,1.3028979301e-03
2.7000000700e-03,2.7036482934e-03,3.9062500000e-03,2.7036070824e-03,1.2026017066e-03,-4.1211023927e-08,1.2026017066e-03,4.1211023927e-08,4.4480699301e-01,1.5242745576e-05,1.2026429176e-03
2.7999999002e-03,2.8039235622e-03,3.9062500000e-03,2.8038620949e-03,1.1023264378e-03,-6.1467289925e-08,1.1023264378e-03,6.1467289925e-08,3.9313712716e-01,2.1921885491e-05,1.1023879051e-03
2.8999999631e-03,2.9042090755e-03,3.9062500000e-03,2.9041767120e-03,1.0020409245e-03,-3.2363459468e-08,1.0020409245e-03,3.2363459468e-08,3.4503057599e-01,1.1143639313e-05,1.0020732880e-03
