method,max_abs_error,x_at_max_abs_error,mean_abs_error,rms_abs_error,max_relative_error,mean_relative_error
Q24.8,0.018767237663,0.8260999918,0.006331783594724487,0.007464111340248295,1.0,0.016862743393268983
Q8.24,4.768371582e-07,0.64880001545,2.1333760549657e-07,2.3164460755715586e-07,0.1920927912,2.13757164393389e-05
