method,scope,ns_per_call_mean,ns_per_call_std
adaptive_rne,e2e,80.53409179666666,0.10623528486652249
adaptive_rne,kernel,70.01146647133334,0.1009179187109432
direct_t12_rne,e2e,38.07511555966667,0.4369423410023931
direct_t12_rne,kernel,27.738632812333332,0.1013015955710385
direct_t12_trunc,e2e,35.717060546666666,0.09031628708597891
direct_t12_trunc,kernel,24.885654297000002,0.043977674508713004
direct_t16_rne,e2e,51.42068033866667,0.11355829362862872
direct_t16_rne,kernel,39.75502604133333,0.036974832149938845
direct_t20_rne,e2e,62.102584635333336,0.09759625080673302
direct_t20_rne,kernel,50.76645670566666,0.010021568070930815
divfirst_t12_rne,e2e,38.95551106766666,0.3971405660256025
divfirst_t12_rne,kernel,28.07871093733333,0.01740804024911169
fine_ln2_2_t12,e2e,22.677216796666666,0.4315052139371685
fine_ln2_2_t12,kernel,15.501674805,0.06610664754481671
fine_ln2_4_t12,e2e,20.245340169333332,0.10573999411208129
fine_ln2_4_t12,kernel,12.948839518,0.28305487661815276
fine_ln2_8_t12,e2e,18.055441080333335,0.10108919108507741
fine_ln2_8_t12,kernel,11.842744140999999,0.453198670849114
halving_adaptive,e2e,38.210166015666665,0.08941442153219017
halving_adaptive,kernel,28.537753906333336,0.1541819726504113
halving_t12,e2e,38.55320963566667,0.10880522571580702
halving_t12,kernel,29.261280924333334,0.153155326721441
libm,e2e,8.272405599,0.08424742438095621
libm,kernel,8.261676432333333,0.20860331130043336
rr_ln2_adaptive,e2e,25.76918131533333,0.03826243119268505
rr_ln2_adaptive,kernel,17.260314127666664,0.16424246754191069
rr_ln2_t12,e2e,27.027093099000002,0.44033728190093147
rr_ln2_t12,kernel,18.521012369999998,0.5173566096052633
